dist_id,city,district,city_title,dist_title,area_sqm,urban_15_34,rural_15_34,total_15_34,dense_15_34
VNM.24.5_1,HậuGiang,NgãBảy,Tỉnh,ThịXã,77178883.28725383,7605.0,7582.0,15187.0,197.0
VNM.24.1_1,HậuGiang,ChâuThànhA,Tỉnh,Huyện,160310827.43189064,9591.0,17682.0,27273.0,170.0
VNM.51.11_1,SócTrăng,VĩnhChâu,Tỉnh,ThịXã,459496169.9051106,22335.0,27110.0,49445.0,108.0
VNM.51.10_1,SócTrăng,TrầnĐề,Tỉnh,Huyện,378989423.1416542,7438.0,22806.0,30244.0,80.0
VNM.2.4_1,BạcLiêu,HồngDân,Tỉnh,Huyện,444458988.9379256,3335.0,34000.0,37335.0,84.0
VNM.13.6_1,CàMau,PhúTân,Tỉnh,Huyện,428897549.5746944,4359.0,25347.0,29706.0,69.0
VNM.49.2_1,QuảngNinh,BìnhLiêu,Tỉnh,Huyện,471493782.23015136,924.0,9869.0,10793.0,23.0
VNM.22.3_1,HảiDương,ChíLinh,Tỉnh,ThịXã,283044893.33442146,40330.0,9176.0,49506.0,175.0
VNM.50.10_1,QuảngTrị,VĩnhLinh,Tỉnh,Huyện,619088884.4864715,5165.0,14435.0,19600.0,32.0
VNM.59.7_1,TràVinh,TiểuCần,Tỉnh,Huyện,227254972.56285825,3538.0,26255.0,29793.0,131.0
VNM.61.5_1,VĩnhLong,TamBình,Tỉnh,Huyện,290625821.02562034,1085.0,36864.0,37949.0,131.0
VNM.1.1_1,AnGiang,AnPhú,Tỉnh,Huyện,227030738.67099202,4912.0,30903.0,35815.0,158.0
VNM.49.11_1,QuảngNinh,QuảngYên,Tỉnh,ThịXã,279061877.6374885,25831.0,19695.0,45526.0,163.0
VNM.47.2_1,QuảngNam,ĐạiLộc,Tỉnh,Huyện,578877147.0630084,4645.0,33994.0,38639.0,67.0
VNM.48.6_1,QuảngNgãi,MinhLong,Tỉnh,Huyện,217205661.2530832,0.0,6622.0,6622.0,30.0
