ward_id,city,district,ward,city_title,dist_title,ward_title,area_sqm,total,urban,rural,pop_density
VNM.29.7.9_1,HàTĩnh,HươngSơn,SơnHà,Tỉnh,Huyện,Xã,3578207.6186911254,1896,,1896.0,530.0
VNM.29.13.12_1,HàTĩnh,VũQuang,VũQuang,Tỉnh,Huyện,ThịTrấn,37682439.885190316,3835,3835.0,,102.0
VNM.29.13.7_1,HàTĩnh,VũQuang,HươngĐiền,Tỉnh,Huyện,Xã,30810986.225950003,467,,467.0,15.0
VNM.29.2.3_1,HàTĩnh,CanLộc,KhánhLộc,Tỉnh,Huyện,Xã,6595569.041922635,4212,,4212.0,639.0
VNM.29.2.2_1,HàTĩnh,CanLộc,GiaHanh,Tỉnh,Huyện,Xã,18613993.296025574,6126,,6126.0,329.0
VNM.29.6.22_1,HàTĩnh,HươngKhê,PhươngMỹ,Tỉnh,Huyện,Xã,50319480.4765121,2479,,2479.0,49.0
VNM.29.6.11_1,HàTĩnh,HươngKhê,HươngThủy,Tỉnh,Huyện,Xã,55356979.73268936,3799,,3799.0,69.0
VNM.29.6.6_1,HàTĩnh,HươngKhê,HươngGiang,Tỉnh,Huyện,Xã,68536844.37636706,4403,,4403.0,64.0
VNM.29.12.20_1,HàTĩnh,ThạchHà,ThạchNgọc,Tỉnh,Huyện,Xã,12034679.048449636,3854,,3854.0,320.0
VNM.29.1.7_1,HàTĩnh,CẩmXuyên,CẩmHuy,Tỉnh,Huyện,Xã,9483543.465981953,4045,,4045.0,427.0
VNM.29.1.19_1,HàTĩnh,CẩmXuyên,CẩmThạch,Tỉnh,Huyện,Xã,19171443.781038776,5468,,5468.0,285.0
VNM.29.1.9_1,HàTĩnh,CẩmXuyên,CẩmLộc,Tỉnh,Huyện,Xã,5981266.951343146,4726,,4726.0,790.0
VNM.29.9.8_1,HàTĩnh,KỳAnh,KỳLạc,Tỉnh,Huyện,Xã,108243584.37801829,3942,,3942.0,36.0
VNM.29.10.9_1,HàTĩnh,LộcHà,ThạchBằng,Tỉnh,Huyện,Xã,9151343.425184896,9322,,9322.0,1019.0
VNM.29.8.2_1,HàTĩnh,KỳAnh,KỳHoa,Tỉnh,ThịXã,Xã,31297931.898060475,5298,,5298.0,169.0
VNM.46.7.9_1,QuảngBình,ĐồngHới,HảiĐình,Tỉnh,ThànhPhố,Phường,1539540.191283877,3399,3399.0,,2208.0
VNM.46.7.7_1,QuảngBình,ĐồngHới,ĐứcNinh,Tỉnh,ThànhPhố,Xã,5478342.548272515,8940,,8940.0,1632.0
VNM.46.4.2_1,QuảngBình,MinhHóa,HồngHóa,Tỉnh,Huyện,Xã,70347713.52926888,3565,,3565.0,51.0
VNM.46.8.13_1,QuảngBình,TuyênHóa,PhongHóa,Tỉnh,Huyện,Xã,27827881.762710847,4544,,4544.0,163.0
VNM.46.1.9_1,QuảngBình,BốTrạch,HoànLão,Tỉnh,Huyện,ThịTrấn,5297270.3630279405,8422,8422.0,,1590.0
VNM.46.1.22_1,QuảngBình,BốTrạch,SơnLộc,Tỉnh,Huyện,Xã,12408337.070682783,2462,,2462.0,198.0
VNM.46.5.9_1,QuảngBình,QuảngNinh,TânNinh,Tỉnh,Huyện,Xã,10870290.30689347,5010,,5010.0,461.0
VNM.46.5.12_1,QuảngBình,QuảngNinh,VạnNinh,Tỉnh,Huyện,Xã,28699644.428183552,7049,,7049.0,246.0
VNM.46.3.18_1,QuảngBình,LệThủy,NTLệNinh,Tỉnh,Huyện,ThịTrấn,46519417.991382286,4876,4876.0,,105.0
VNM.46.3.11_1,QuảngBình,LệThủy,LiênThủy,Tỉnh,Huyện,Xã,6647786.864370196,7747,,7747.0,1165.0
VNM.50.4.8_1,QuảngTrị,ĐôngHà,4,Tỉnh,ThànhPhố,Phường,5238257.571474608,5034,5034.0,,961.0
VNM.50.7.9_1,QuảngTrị,HướngHóa,HướngSơn,Tỉnh,Huyện,Xã,203936639.0039579,2221,,2221.0,11.0
VNM.50.7.21_1,QuảngTrị,HướngHóa,Thuận,Tỉnh,Huyện,Xã,22584680.65006856,3485,,3485.0,154.0
VNM.50.3.8_1,QuảngTrị,ĐaKrông,HướngHiệp,Tỉnh,Huyện,Xã,143372503.61402598,5151,,5151.0,36.0
VNM.50.6.16_1,QuảngTrị,HảiLăng,HảiThiện,Tỉnh,Huyện,Xã,12744136.02645685,2730,,2730.0,214.0
VNM.50.6.6_1,QuảngTrị,HảiLăng,HảiKhê,Tỉnh,Huyện,Xã,8865418.764120733,2754,,2754.0,311.0
VNM.54.2.26_1,ThừaThiênHuế,Huế,VĩnhNinh,Tỉnh,ThànhPhố,Phường,1496599.81085625,5962,5962.0,,3984.0
VNM.54.2.12_1,ThừaThiênHuế,Huế,PhúHội,Tỉnh,ThànhPhố,Phường,1020095.3782213922,9519,9519.0,,9331.0
VNM.54.2.1_1,ThừaThiênHuế,Huế,AnCựu,Tỉnh,ThànhPhố,Phường,2591933.83384428,23776,23776.0,,9173.0
VNM.54.2.7_1,ThừaThiênHuế,Huế,HươngSơ,Tỉnh,ThànhPhố,Phường,3142297.1479524365,12105,12105.0,,3852.0
VNM.54.9.1_1,ThừaThiênHuế,QuảngĐiền,QuảngAn,Tỉnh,Huyện,Xã,15317193.730474208,7463,,7463.0,487.0
VNM.54.8.12_1,ThừaThiênHuế,PhúVang,PhúThượng,Tỉnh,Huyện,Xã,5840386.285293974,19922,,19922.0,3411.0
VNM.54.3.8_1,ThừaThiênHuế,HươngThủy,ThủyPhù,Tỉnh,ThịXã,Xã,34219206.20240379,13446,,13446.0,393.0
VNM.54.7.14_1,ThừaThiênHuế,PhúLộc,VinhHải,Tỉnh,Huyện,Xã,5690694.783572638,1730,,1730.0,304.0
VNM.54.5.11_1,ThừaThiênHuế,NamĐông,ThượngQuảng,Tỉnh,Huyện,Xã,155104826.78147504,1966,,1966.0,13.0
VNM.54.5.1_1,ThừaThiênHuế,NamĐông,HươngGiang,Tỉnh,Huyện,Xã,7534455.8531297725,1276,,1276.0,169.0
VNM.19.4.2_1,ĐàNẵng,LiênChiểu,HòaHiệpNam,ThànhPhố,Quận,Phường,7780106.665140263,22448,22448.0,,2885.0
VNM.19.2.12_1,ĐàNẵng,HảiChâu,ThanhBình,ThànhPhố,Quận,Phường,1527830.8727671138,20579,20579.0,,13469.0
