ward_id,city,district,ward,city_title,dist_title,ward_title,area_sqm,urban_1,urban_2,urban_3,urban_4,urban_5,rural_1_2,rural_3,rural_4,rural_5
VNM.10.5.2_1,BìnhPhước,ChơnThành,MinhHưng,Tỉnh,Huyện,Xã,58497202.70106468,,,,,0.0,4689.0,1984.0,1916.0,1218.0
VNM.10.10.3_1,BìnhPhước,PhúRiềng,BùNho,Tỉnh,Huyện,Xã,37200542.48307976,,,,,0.0,900.0,729.0,977.0,851.0
VNM.53.6.8_1,TâyNinh,TânBiên,ThạnhBình,Tỉnh,Huyện,Xã,111500234.03083676,,,,,0.0,939.0,867.0,948.0,973.0
VNM.53.6.10_1,TâyNinh,TânBiên,TràVong,Tỉnh,Huyện,Xã,49690717.18598145,,,,,0.0,799.0,679.0,848.0,687.0
VNM.53.7.10_1,TâyNinh,TânChâu,TânPhú,Tỉnh,Huyện,Xã,44104428.42804002,,,,,0.0,875.0,677.0,719.0,629.0
VNM.53.4.7_1,TâyNinh,GòDầu,PhướcTrạch,Tỉnh,Huyện,Xã,11116299.826414412,,,,,0.0,668.0,573.0,629.0,539.0
VNM.53.1.7_1,TâyNinh,BếnCầu,LongPhước,Tỉnh,Huyện,Xã,32222973.21010523,,,,,0.0,106.0,111.0,142.0,109.0
VNM.53.1.9_1,TâyNinh,BếnCầu,TiênThuận,Tỉnh,Huyện,Xã,36743104.145748146,,,,,0.0,950.0,953.0,1119.0,841.0
VNM.9.8.11_1,BìnhDương,ThủDầuMột,PhúTân,Tỉnh,ThànhPhố,Phường,16416898.89013505,1076.0,1544.0,823.0,792.0,456.0,0.0,,,0.0
VNM.9.4.9_1,BìnhDương,DầuTiếng,MinhTân,Tỉnh,Huyện,Xã,43310413.34840398,,,,,0.0,574.0,464.0,549.0,392.0
VNM.9.6.10_1,BìnhDương,PhúGiáo,TânLong,Tỉnh,Huyện,Xã,52442855.59299719,,,,,0.0,469.0,447.0,591.0,520.0
VNM.9.9.1_1,BìnhDương,ThuậnAn,AnPhú,Tỉnh,ThịXã,Phường,11109377.405990472,10042.0,16231.0,8712.0,5652.0,2337.0,0.0,,,0.0
VNM.17.1.12_1,ĐồngNai,BiênHòa,LongHưng,Tỉnh,ThànhPhố,Xã,11501026.164571142,,,,,0.0,387.0,379.0,514.0,442.0
VNM.17.4.7_1,ĐồngNai,LongKhánh,PhúBình,Tỉnh,ThịXã,Phường,2516516.8706817403,148.0,209.0,275.0,299.0,415.0,0.0,,,0.0
VNM.17.7.2_1,ĐồngNai,TânPhú,NamCátTiên,Tỉnh,Huyện,Xã,22661931.630587064,,,,,0.0,542.0,328.0,363.0,319.0
VNM.17.3.11_1,ĐồngNai,ĐịnhQuán,PhúVinh,Tỉnh,Huyện,Xã,24657805.30679088,,,,,0.0,966.0,664.0,585.0,899.0
VNM.17.9.15_1,ĐồngNai,TrảngBom,ThanhBình,Tỉnh,Huyện,Xã,31610319.842517413,,,,,0.0,623.0,636.0,858.0,1054.0
VNM.17.8.2_1,ĐồngNai,ThốngNhất,GiaKiệm,Tỉnh,Huyện,Xã,32917492.594604142,,,,,0.0,975.0,1050.0,1643.0,2191.0
VNM.17.8.7_1,ĐồngNai,ThốngNhất,Lộ25,Tỉnh,Huyện,Xã,19630376.91047302,,,,,0.0,667.0,539.0,815.0,989.0
VNM.17.2.5_1,ĐồngNai,CẩmMỹ,SôngNhạn,Tỉnh,Huyện,Xã,47818765.226175986,,,,,0.0,517.0,457.0,625.0,620.0
VNM.17.5.8_1,ĐồngNai,LongThành,LongĐức,Tỉnh,Huyện,Xã,30360257.269353148,,,,,0.0,919.0,710.0,949.0,768.0
VNM.17.11.5_1,ĐồngNai,XuânLộc,SuốiCát,Tỉnh,Huyện,Xã,17081854.75732234,,,,,0.0,944.0,669.0,960.0,839.0
VNM.7.6.2_1,BàRịa-VũngTàu,VũngTàu,NguyễnAnNinh,Tỉnh,ThànhPhố,Phường,4597512.176152541,684.0,1160.0,1477.0,1762.0,995.0,0.0,,,0.0
VNM.7.7.2_1,BàRịa-VũngTàu,XuyênMộc,BìnhChâu,Tỉnh,Huyện,Xã,85387576.23486479,,,,,0.0,1126.0,1095.0,1576.0,1634.0
VNM.7.4.6_1,BàRịa-VũngTàu,LongĐiền,PhướcTỉnh,Tỉnh,Huyện,Xã,6115839.45889013,,,,,0.0,1399.0,1493.0,2347.0,2432.0
VNM.25.13.2_1,HồChíMinh,1,BếnThành,ThànhPhố,Quận,Phường,926582.4545255789,426.0,465.0,613.0,637.0,953.0,0.0,,,0.0
VNM.25.13.4_1,HồChíMinh,1,CầuÔngLãnh,ThànhPhố,Quận,Phường,227082.0321975762,292.0,340.0,424.0,466.0,836.0,0.0,,,0.0
VNM.25.13.3_1,HồChíMinh,1,CầuKho,ThànhPhố,Quận,Phường,344181.7224325465,575.0,691.0,876.0,956.0,895.0,0.0,,,0.0
VNM.25.12.5_1,HồChíMinh,12,TânHưngThuận,ThànhPhố,Quận,Phường,1799697.1729755297,745.0,1198.0,1838.0,2612.0,2331.0,0.0,,,0.0
VNM.25.12.2_1,HồChíMinh,12,ĐôngHưngThuận,ThànhPhố,Quận,Phường,2550784.335553397,1969.0,2808.0,3153.0,3503.0,2532.0,0.0,,,0.0
VNM.25.21.8_1,HồChíMinh,9,PhướcLongA,ThànhPhố,Quận,Phường,2365345.3287249566,717.0,1334.0,1580.0,1892.0,1471.0,0.0,,,0.0
